,Zone,Resort Name,State,Base Elevation (ft),Top Elevation (ft),Snowfall Score,Total Snow Score With Preservation,Overall Ranking,Regional Ranking,State Ranking,True Snow Per Year (inches),Snow Quality Rank,Dump Potential Rank,MonthsMoreThan90Snow,MonthsLessThan30Snow,latitude,longitude,Acreage,Total Runs,Longest Run (ft),Lifts,Uphill Max (ppl/hr),Terrain Parks,Halfpipes
195,Midwest,Giants Ridge,MN,1470,1970,29.0,23.8,216,15,2,85, 196, 197,0.0,85.0,47.57916,-92.304021,202 ,35,4000 ,7,7000  ,2,0
196,Midwest,Boyne Mountain,MI,620,1120,37.6,23.7,210,12,8,140, 198, 168,0.0,65.0,45.158876,-84.923891,415 ,30,5280 ,10,  ,2,1
197,Midwest,Shanty Creek,MI,675,1125,38.0,23.7,200,10,7,140, 197, 164,0.0,60.0,44.949021,-85.185288,300 ,53,5280 ,9,  ,5,1
198,Midwest,Nubs Nob,MI,911,1338,37.1,23.3,195,8,5,140, 199, 172,0.0,65.0,45.468889,-84.902411,248 ,53,4620 ,8,18275  ,5,0
199,Midwest,Boyne Highlands,MI,745,1290,37.6,23.1,179,4,4,140, 200, 169,0.0,65.0,45.467505,-84.91681,435 ,55,7920 ,8,17400  ,3,1
200,East,Dry Hill,NY,1148,2100,35.8,22.7,207,37,10,125, 201, 178,0.0,65.0,43.931683,-75.901648,220 ,7,2200 ,3,  ,0,0
201,Eastern-Canada,Mont Orford,QC,867,2800,31.1,22.6,187,9,7,140, 203, 192,0.0,65.0,45.31751,-72.223001,246 ,61,13200 ,9,  ,0,0
202,Midwest,Caberfae Peaks,MI,1060,1569,36.1,22.6,211,13,9,125, 202, 177,1.0,65.0,44.246429,-85.724455,200 ,34,3960 ,6,9207  ,2,0
203,Eastern-Canada,Ski Bromont,QC,541,1693,34.9,22.1,208,10,8,125, 204, 181,0.0,70.0,45.301056,-72.636617,400 ,129,7152 ,7,  ,0,0
204,East,Labrador Mountain,NY,1125,1825,35.8,21.8,202,33,7,125, 205, 179,0.0,65.0,42.743293,-76.029439,250 ,22,5200 ,4,  ,4,1
